,Spectral Type,Name,Catalog Name,"Ra, Dec j2000","Ra, Dec on date",mb,mg,Varviacion en magnitud
0,O,,,,,,,
1,O6,zet Pup,SAO198752,"08 03 35.04 , -40 00 11.33","8 04 15.72 , -40 03 33.2",1.98, ,+-0.06
2,B7,kappa Eri,SAO215906,"2 26 59.16 , -47 42 14"," 2 27 41.08 , -47 37 8.6",4.11,4.16, 
3,B3,psi Eri,SAO131700,"5 1 26.34 , -7 10 26.27","5 2 22.30 , -7 8 54.2 ",4.62,4.72, 
4,A0,nu Tau,SAO111579,"4 3 9.37 , +5 59 21.47","04 00 29.59 , +5 51 7.45",3.92,3.81, 
5,A3,tau 03 Eri,SAO168249,"3 2 23.39 , -23 37 28.7","3 3 14.36 , -23 33 3.2",4.25,3.99,
6,F7,tau 01 Eri,SAO148584,"2 45 6.63 , -18 43 20.8","2 45 59.95 , -18 29 35.1",4.94,4.29,
7,F2,eta lep,SAO150957,"5 56 24.25 , -14 10 2.2","5 57 16.85 , -14 10 1.6",4.05,3.55,
8,G8,nu 2 Eri,SAO195148,"4 35 32.97 , -30 33 44.9","4 36 17.85 , -30 31 31.2",4.05,3.55,
9,G6,o Tau,SAO111172,"03 24 48.79 , +09 01 43.99","3 25 51 , 9 05 39.2",4.49,3.25,
10,K2,eps Eri,SAO130564,"3 32 54.55 , -9 27 29.4","3 33 50.19 , -9 23 43.3",4.61,3.36,+-0.05
11,K5,HD 52666,SAO134076,"7 1 56.38 , -5 43 19.41","7 2 52.95 , -5 45 7.3",4.25,3.99,
12,M1,gam Eri,SAO149283,"3 58 1.85 , -13 30 32.8","3 58 55.58 , -13 27 22.2",4.54,2.15,+-0.12
13,M,,,,,,,
